timestep,agent_name,actor_type,actor_id,bank_id,bank_name,base_reputation_score,current_reputation_score,reputation_source,reputation_notes,offer_id,product_id,product_name,offer_type,visibility,base_interest_rate_apr,effective_interest_rate_apr,processing_fee_pct,relationship_discount_bps,min_credit_score,min_schufa_score_pct,min_loan_amount_eur,max_loan_amount_eur,min_term_months,max_term_months,target_customer_segment,offer_description,valid_from_timestep,valid_to_timestep,reasoning_summary,action_sequence,intra_timestep_sequence,action_id,depends_on_action_id,source_snapshot_timestep,committed_timestep,validation_status,validation_errors,repair_notes,raw_row_json
3,bank_agent,bank,B001,B001,,,,,,B001-loan-std-2,personal_loan,Deutsche Bank Personal Loan,standard_offer,public,0.063,0.065,0.01,20.0,,,5000.0,25000.0,12,60,,,3,5,,1,1,B001-offer-4,,2,3,,,,
3,bank_agent,bank,B001,B001,,,,,,B001-loan-premium-2,personal_loan,Deutsche Bank Premium Personal Loan,standard_offer,public,0.053,0.055,0.005,30.0,,,25001.0,75000.0,24,84,,,3,5,,2,2,B001-offer-5,,2,3,,,,
3,bank_agent,bank,B004,B004,,,,,,O004,P001,DKB Personal Loan,standard_offer,public,3.2,3.25,0.5,5.0,,,1000.0,50000.0,12,84,,,3,5,,1,1,A006_5,,2,3,,,,
3,bank_agent,bank,B004,B004,,,,,,O005,P002,DKB Car Loan,standard_offer,public,2.9,2.95,0.3,10.0,,,5000.0,75000.0,24,96,,,3,5,,1,1,A006_6,,2,3,,,,
3,bank_agent,bank,B003,B003,,,,,,B003_offer_4,green_energy_loan,ING Green Energy Loan,standard_offer,public,0.029,0.031,0.01,40.0,,,5000.0,80000.0,24,120,,,3,5,,1,1,B003_action_1_publish,,2,3,,,,
3,bank_agent,bank,B003,B003,,,,,,B003_offer_5,car_loan,ING Car Loan,standard_offer,public,0.03,0.032,0.01,30.0,,,5000.0,75000.0,24,96,,,3,5,,1,1,B003_action_1_publish_8,,2,3,,,,
3,bank_agent,bank,B006,B006,,,,,,B006-GL-T3,B006-GL,Green Energy Loan,standard_offer,public,0.037,0.039,0.005,15.0,,,5000.0,75000.0,24,96,,,3,5,,3,3,B006-offer-3-1,,2,3,,,,
3,bank_agent,bank,B006,B006,,,,,,B006-L-1-T3,B006-L,Standard Loan,standard_offer,public,0.049,0.051,0.01,10.0,,,1000.0,10000.0,12,36,,,3,5,,4,4,B006-offer-3-2,,2,3,,,,
3,bank_agent,bank,B006,B006,,,,,,B006-L-2-T3,B006-L,Standard Loan,standard_offer,public,0.044,0.046,0.008,15.0,,,10001.0,50000.0,37,72,,,3,5,,5,5,B006-offer-3-3,,2,3,,,,
3,bank_agent,bank,B006,B006,,,,,,B006-L-3-T3,B006-L,Standard Loan,standard_offer,public,0.039,0.041,0.005,20.0,,,50001.0,100000.0,73,120,,,3,5,,6,6,B006-offer-3-4,,2,3,,,,
3,bank_agent,bank,B005,B005,,,,,,B005-O-3,B005-P-GREEN,Sparkasse Green Energy Loan,standard_offer,public,0.055,0.057,0.01,15.0,,,10000.0,100000.0,24,120,,,3,5,,1,1,B005-O-3,,2,3,,,,
3,bank_agent,bank,B005,B005,,,,,,B005-O-4,B005-P-PL,Sparkasse Personal Loan,standard_offer,public,0.057,0.059,0.01,15.0,,,5000.0,75000.0,12,84,,,3,5,,1,1,B005-O-4,,2,3,,,,
3,bank_agent,bank,B005,B005,,,,,,B005-O-5,B005-P-M,Sparkasse Mortgage,standard_offer,public,0.038,0.04,0.005,10.0,,,100000.0,800000.0,120,360,,,3,5,,1,1,B005-O-5,,2,3,,,,
3,bank_agent,bank,B008,B008,,,,,,offer_B008_5,personal_loan_B008_2,Santander Personal Loan,standard_offer,public,0.05,0.052,0.01,10.0,,,5000.0,50000.0,12,84,,,3,5,,3,3,action_B008_4,,2,3,,,,
3,bank_agent,bank,B008,B008,,,,,,offer_B008_6,express_loan_B008_2,Santander Express Loan,standard_offer,public,0.07,0.075,0.015,5.0,,,1000.0,10000.0,6,48,,,3,5,,3,3,action_B008_4_17,,2,3,,,,
3,bank_agent,bank,B008,B008,,,,,,offer_B008_7,large_purchase_loan_B008_2,Santander Large Purchase Loan,standard_offer,public,0.041,0.043,0.005,15.0,,,20000.0,100000.0,24,120,,,3,5,,3,3,action_B008_4_18,,2,3,,,,
3,bank_agent,bank,B007,B007,,,,,,B007-O-4,GEL-001,Targobank Green Energy Loan,standard_offer,public,0.0479,0.0479,0.01,10.0,,,5000.0,75000.0,24,120,,,3,5,,3,3,B007-A-4,,2,3,,,,
3,bank_agent,bank,B007,B007,,,,,,B007-O-5,PL-001,Targobank Personal Loan,standard_offer,public,0.0549,0.0549,0.01,10.0,,,1000.0,50000.0,12,84,,,3,5,,3,3,B007-A-5,,2,3,,,,
3,bank_agent,bank,B007,B007,,,,,,B007-O-6,SCL-001,Targobank Small Credit Line,standard_offer,public,0.0699,0.0699,0.015,15.0,,,500.0,10000.0,6,48,,,3,5,,3,3,B007-A-6,,2,3,,,,
4,bank_agent,bank,B002,B002,,,,,,O-B002-006,P-B002-PL-PLUS,Commerzbank Personal Loan Plus,standard_offer,public,0.045,0.046,0.005,0.0,,,5000.0,60000.0,12,84,,,4,6,,2,2,A008,,3,4,,,,
4,bank_agent,bank,B003,B003,,,,,,B003_offer_6,personal_loan,ING Personal Loan,standard_offer,public,0.032,0.035,0.015,50.0,,,1000.0,50000.0,12,84,,,4,6,,1,1,B003_action_1_publish_pl,,3,4,,,,
4,bank_agent,bank,B006,B006,,,,,,B006-GL-T4,B006-GL,Green Energy Loan,standard_offer,public,0.036,0.038,0.005,15.0,,,5000.0,75000.0,24,96,,,4,6,,1,1,B006-offer-4-1,,3,4,,,,
4,bank_agent,bank,B006,B006,,,,,,B006-L-1-T4,B006-L,Standard Loan,standard_offer,public,0.048,0.05,0.01,10.0,,,1000.0,10000.0,12,36,,,4,6,,2,2,B006-offer-4-2,,3,4,,,,
4,bank_agent,bank,B006,B006,,,,,,B006-L-2-T4,B006-L,Standard Loan,standard_offer,public,0.043,0.045,0.008,15.0,,,10001.0,50000.0,37,72,,,4,6,,3,3,B006-offer-4-3,,3,4,,,,
4,bank_agent,bank,B006,B006,,,,,,B006-L-3-T4,B006-L,Standard Loan,standard_offer,public,0.038,0.04,0.005,20.0,,,50001.0,100000.0,73,120,,,4,6,,4,4,B006-offer-4-4,,3,4,,,,
4,bank_agent,bank,B007,B007,,,,,,B007-O-7,PL-001,Targobank Personal Loan,standard_offer,public,0.0529,0.0529,0.01,10.0,,,1000.0,50000.0,12,84,,,4,6,,4,4,B007-A-7,,3,4,,,,
4,bank_agent,bank,B007,B007,,,,,,B007-O-8,CL-001,Targobank Car Loan,standard_offer,public,0.0489,0.0489,0.01,10.0,,,5000.0,60000.0,24,96,,,4,6,,4,4,B007-A-8,,3,4,,,,
4,bank_agent,bank,B005,B005,,,,,,B005-O-6,B005-P-PL,Sparkasse Personal Loan,standard_offer,public,0.056,0.058,0.01,15.0,,,5000.0,75000.0,12,84,,,4,6,,1,1,B005-O-6,,3,4,,,,
4,bank_agent,bank,B005,B005,,,,,,B005-O-7,B005-P-GREEN,Sparkasse Green Energy Loan,standard_offer,public,0.055,0.057,0.01,15.0,,,10000.0,100000.0,24,120,,,4,6,,2,2,B005-O-7,,3,4,,,,
4,bank_agent,bank,B005,B005,,,,,,B005-O-8,B005-P-M,Sparkasse Mortgage,standard_offer,public,0.038,0.04,0.005,10.0,,,100000.0,800000.0,120,360,,,4,6,,3,3,B005-O-8,,3,4,,,,
4,bank_agent,bank,B004,B004,,,,,,O006,P003,DKB Green Energy Loan,standard_offer,public,2.65,2.7,0.2,15.0,,,5000.0,100000.0,24,120,,,4,6,,1,1,A007,,3,4,,,,
4,bank_agent,bank,B001,B001,,,,,,B001-loan-green-2,green_energy_loan,Deutsche Bank Green Energy Loan,standard_offer,public,0.058,0.06,0.008,25.0,,,10000.0,50000.0,24,84,,,4,6,,2,2,B001-offer-6,,3,4,,,,
4,bank_agent,bank,B001,B001,,,,,,B001-loan-std-3,personal_loan,Deutsche Bank Personal Loan,standard_offer,public,0.061,0.063,0.01,20.0,,,5000.0,25000.0,12,60,,,4,6,,3,3,B001-offer-7,,3,4,,,,
4,bank_agent,bank,B001,B001,,,,,,B001-loan-premium-3,personal_loan,Deutsche Bank Premium Personal Loan,standard_offer,public,0.051,0.053,0.005,30.0,,,25001.0,75000.0,24,84,,,4,6,,4,4,B001-offer-8,,3,4,,,,
5,bank_agent,bank,B003,B003,,,,,,B003_offer_7,green_energy_loan,ING Green Energy Loan,standard_offer,public,0.028,0.03,0.01,40.0,,,5000.0,80000.0,24,120,,,5,7,,1,1,B003_action_publish_5,,4,5,,,,
5,bank_agent,bank,B003,B003,,,,,,B003_offer_8,car_loan,ING Car Loan,standard_offer,public,0.029,0.031,0.01,30.0,,,5000.0,75000.0,24,96,,,5,7,,1,1,B003_action_publish_5_2,,4,5,,,,
5,bank_agent,bank,B004,B004,,,,,,O007,P001,DKB Personal Loan,standard_offer,public,3.15,3.2,0.5,5.0,,,1000.0,50000.0,12,84,,,5,7,,1,1,A008,,4,5,,,,
5,bank_agent,bank,B004,B004,,,,,,O008,P002,DKB Car Loan,standard_offer,public,2.85,2.9,0.3,10.0,,,5000.0,75000.0,24,96,,,5,7,,1,1,A009,,4,5,,,,
5,bank_agent,bank,B006,B006,,,,,,B006-GL-T5,B006-GL,Green Energy Loan,standard_offer,public,0.034,0.036,0.005,15.0,,,5000.0,75000.0,24,96,,,5,7,,1,1,B006-offer-5-1,,4,5,,,,
5,bank_agent,bank,B006,B006,,,,,,B006-L-1-T5,B006-L,Standard Loan,standard_offer,public,0.047,0.049,0.01,10.0,,,1000.0,10000.0,12,36,,,5,7,,2,2,B006-offer-5-2,,4,5,,,,
5,bank_agent,bank,B006,B006,,,,,,B006-L-2-T5,B006-L,Standard Loan,standard_offer,public,0.042,0.044,0.008,15.0,,,10001.0,50000.0,37,72,,,5,7,,3,3,B006-offer-5-3,,4,5,,,,
5,bank_agent,bank,B006,B006,,,,,,B006-L-3-T5,B006-L,Standard Loan,standard_offer,public,0.037,0.039,0.005,20.0,,,50001.0,100000.0,73,120,,,5,7,,4,4,B006-offer-5-4,,4,5,,,,
5,bank_agent,bank,B001,B001,,,,,,B001-loan-green-3,green_energy_loan,Deutsche Bank Green Energy Loan,standard_offer,public,0.056,0.058,0.008,25.0,,,10000.0,50000.0,24,84,,,5,7,,2,2,B001-offer-9,,4,5,,,,
5,bank_agent,bank,B001,B001,,,,,,B001-car-loan-1,car_loan,Deutsche Bank Car Loan,standard_offer,public,0.055,0.057,0.005,20.0,,,5000.0,60000.0,12,72,,,5,7,,3,3,B001-offer-10,,4,5,,,,
5,bank_agent,bank,B005,B005,,,,,,B005-O-9,B005-P-PL,Sparkasse Personal Loan,standard_offer,public,0.054,0.056,0.01,15.0,,,5000.0,75000.0,12,84,,,5,7,,1,1,B005-O-9,,4,5,,,,
5,bank_agent,bank,B005,B005,,,,,,B005-O-10,B005-P-GREEN,Sparkasse Green Energy Loan,standard_offer,public,0.052,0.054,0.01,15.0,,,10000.0,100000.0,24,120,,,5,7,,2,2,B005-O-10,,4,5,,,,
5,bank_agent,bank,B005,B005,,,,,,B005-O-11,B005-P-M,Sparkasse Mortgage,standard_offer,public,0.038,0.04,0.005,10.0,,,100000.0,800000.0,120,360,,,5,7,,3,3,B005-O-11,,4,5,,,,
5,bank_agent,bank,B002,B002,,,,,,O-B002-007,P-B002-GL,Commerzbank Green Energy Loan,standard_offer,public,0.042,0.043,0.005,0.0,,,10000.0,80000.0,24,120,,,5,7,,2,2,A010,,4,5,,,,
5,bank_agent,bank,B002,B002,,,,,,O-B002-008,P-B002-CL,Commerzbank Car Loan,standard_offer,public,0.041,0.0415,0.005,0.0,,,10000.0,75000.0,24,84,,,5,7,,2,2,A011,,4,5,,,,
5,bank_agent,bank,B007,B007,,,,,,B007-O-9,PL-001,Targobank Personal Loan,standard_offer,public,0.0509,0.0509,0.01,10.0,,,1000.0,50000.0,12,84,,,5,7,,5,5,B007-A-9,,4,5,,,,
5,bank_agent,bank,B007,B007,,,,,,B007-O-10,CL-001,Targobank Car Loan,standard_offer,public,0.0469,0.0469,0.01,10.0,,,5000.0,60000.0,24,96,,,5,7,,5,5,B007-A-10,,4,5,,,,
5,bank_agent,bank,B007,B007,,,,,,B007-O-11,GEL-001,Targobank Green Energy Loan,standard_offer,public,0.0459,0.0459,0.01,10.0,,,5000.0,75000.0,24,120,,,5,7,,5,5,B007-A-11,,4,5,,,,
5,bank_agent,bank,B007,B007,,,,,,B007-O-12,SCL-001,Targobank Small Credit Line,standard_offer,public,0.0679,0.0679,0.015,15.0,,,500.0,10000.0,6,48,,,5,7,,5,5,B007-A-12,,4,5,,,,
5,bank_agent,bank,B008,B008,,,,,,offer_B008_8,green_loan_B008_2,Santander Green Energy Loan,standard_offer,public,0.038,0.04,0.005,10.0,,,10000.0,75000.0,24,120,,,5,7,,4,4,action_B008_5_1,,4,5,,,,
5,bank_agent,bank,B008,B008,,,,,,offer_B008_9,personal_loan_B008_3,Santander Personal Loan,standard_offer,public,0.044,0.046,0.01,10.0,,,5000.0,50000.0,12,84,,,5,7,,4,4,action_B008_5_2,,4,5,,,,
5,bank_agent,bank,B008,B008,,,,,,offer_B008_10,large_purchase_loan_B008_3,Santander Large Purchase Loan,standard_offer,public,0.039,0.041,0.005,15.0,,,20000.0,100000.0,24,120,,,5,7,,4,4,action_B008_5_3,,4,5,,,,
5,bank_agent,bank,B008,B008,,,,,,offer_B008_11,express_loan_B008_3,Santander Express Loan,standard_offer,public,0.065,0.068,0.015,5.0,,,1000.0,10000.0,6,48,,,5,7,,4,4,action_B008_5_4,,4,5,,,,
6,bank_agent,bank,B004,B004,,,,,,O009,P003,DKB Green Energy Loan,standard_offer,public,2.55,2.6,0.2,15.0,,,5000.0,100000.0,24,120,,,6,8,,1,1,A010,,5,6,,,,
6,bank_agent,bank,B002,B002,,,,,,O-B002-009,P-B002-PL-PLUS,Commerzbank Personal Loan Plus,standard_offer,public,0.039,0.04,0.005,0.0,,,5000.0,60000.0,12,84,,,6,8,,2,2,A013,,5,6,,,,
6,bank_agent,bank,B003,B003,,,,,,B003_offer_9,personal_loan,ING Personal Loan,standard_offer,public,0.03,0.033,0.015,50.0,,,1000.0,50000.0,12,84,,,6,8,,1,1,B003_action_timestep_6,,5,6,,,,
6,bank_agent,bank,B003,B003,,,,,,B003_offer_10,green_energy_loan,ING Green Energy Loan,standard_offer,public,0.026,0.028,0.01,40.0,,,5000.0,80000.0,24,120,,,6,8,,1,1,B003_action_timestep_6_4,,5,6,,,,
6,bank_agent,bank,B003,B003,,,,,,B003_offer_11,car_loan,ING Car Loan,standard_offer,public,0.027,0.029,0.01,30.0,,,5000.0,75000.0,24,96,,,6,8,,1,1,B003_action_timestep_6_5,,5,6,,,,
6,bank_agent,bank,B007,B007,,,,,,B007-O-13,PL-001,Targobank Personal Loan,standard_offer,public,0.0489,0.0489,0.01,10.0,,,1000.0,50000.0,12,84,,,6,8,,6,6,B007-A-13,,5,6,,,,
6,bank_agent,bank,B007,B007,,,,,,B007-O-14,CL-001,Targobank Car Loan,standard_offer,public,0.0449,0.0449,0.01,10.0,,,5000.0,60000.0,24,96,,,6,8,,6,6,B007-A-14,,5,6,,,,
6,bank_agent,bank,B007,B007,,,,,,B007-O-15,GEL-001,Targobank Green Energy Loan,standard_offer,public,0.0439,0.0439,0.01,10.0,,,5000.0,75000.0,24,120,,,6,8,,6,6,B007-A-15,,5,6,,,,
6,bank_agent,bank,B007,B007,,,,,,B007-O-16,SCL-001,Targobank Small Credit Line,standard_offer,public,0.0659,0.0659,0.015,15.0,,,500.0,10000.0,6,48,,,6,8,,6,6,B007-A-16,,5,6,,,,
6,bank_agent,bank,B005,B005,,,,,,B005-O-12,B005-P-PL,Sparkasse Personal Loan,standard_offer,public,0.051,0.053,0.01,15.0,,,5000.0,75000.0,12,84,,,6,8,,1,1,B005-O-12,,5,6,,,,
6,bank_agent,bank,B005,B005,,,,,,B005-O-13,B005-P-GREEN,Sparkasse Green Energy Loan,standard_offer,public,0.049,0.051,0.01,15.0,,,10000.0,100000.0,24,120,,,6,8,,2,2,B005-O-13,,5,6,,,,
6,bank_agent,bank,B005,B005,,,,,,B005-O-14,B005-P-M,Sparkasse Mortgage,standard_offer,public,0.038,0.04,0.005,10.0,,,100000.0,800000.0,120,360,,,6,8,,3,3,B005-O-14,,5,6,,,,
6,bank_agent,bank,B001,B001,,,,,,B001-loan-std-4,personal_loan,Deutsche Bank Personal Loan,standard_offer,public,0.058,0.06,0.01,20.0,,,5000.0,25000.0,12,60,,,6,8,,2,2,B001-offer-11,,5,6,,,,
6,bank_agent,bank,B001,B001,,,,,,B001-loan-premium-4,personal_loan,Deutsche Bank Premium Personal Loan,standard_offer,public,0.048,0.05,0.005,30.0,,,25001.0,75000.0,24,84,,,6,8,,3,3,B001-offer-12,,5,6,,,,
6,bank_agent,bank,B008,B008,,,,,,offer_B008_12,green_loan_B008_3,Santander Green Energy Loan,standard_offer,public,0.036,0.038,0.005,10.0,,,10000.0,75000.0,24,120,,,6,8,,5,5,action_B008_6_1,,5,6,,,,
6,bank_agent,bank,B008,B008,,,,,,offer_B008_13,personal_loan_B008_4,Santander Personal Loan,standard_offer,public,0.042,0.044,0.01,10.0,,,5000.0,50000.0,12,84,,,6,8,,5,5,action_B008_6_2,,5,6,,,,
6,bank_agent,bank,B008,B008,,,,,,offer_B008_14,large_purchase_loan_B008_4,Santander Large Purchase Loan,standard_offer,public,0.037,0.039,0.005,15.0,,,20000.0,100000.0,24,120,,,6,8,,5,5,action_B008_6_3,,5,6,,,,
6,bank_agent,bank,B008,B008,,,,,,offer_B008_15,express_loan_B008_4,Santander Express Loan,standard_offer,public,0.063,0.066,0.015,5.0,,,1000.0,10000.0,6,48,,,6,8,,5,5,action_B008_6_4,,5,6,,,,
6,bank_agent,bank,B006,B006,,,,,,B006-GL-T6,B006-GL,Green Energy Loan,standard_offer,public,0.032,0.034,0.005,15.0,,,5000.0,75000.0,24,96,,,6,8,,2,2,B006-offer-6-1,,5,6,,,,
6,bank_agent,bank,B006,B006,,,,,,B006-L-1-T6,B006-L,Standard Loan,standard_offer,public,0.046,0.048,0.01,10.0,,,1000.0,10000.0,12,36,,,6,8,,3,3,B006-offer-6-2,,5,6,,,,
6,bank_agent,bank,B006,B006,,,,,,B006-L-2-T6,B006-L,Standard Loan,standard_offer,public,0.041,0.043,0.008,15.0,,,10001.0,50000.0,37,72,,,6,8,,4,4,B006-offer-6-3,,5,6,,,,
6,bank_agent,bank,B006,B006,,,,,,B006-L-3-T6,B006-L,Standard Loan,standard_offer,public,0.036,0.038,0.005,20.0,,,50001.0,100000.0,73,120,,,6,8,,5,5,B006-offer-6-4,,5,6,,,,
7,bank_agent,bank,B004,B004,,,,,,O010,P001,DKB Personal Loan,standard_offer,public,3.15,3.2,0.5,5.0,,,1000.0,50000.0,12,84,,,7,9,,2,2,A014,,6,7,,,,
7,bank_agent,bank,B004,B004,,,,,,O011,P002,DKB Car Loan,standard_offer,public,2.85,2.9,0.3,10.0,,,5000.0,75000.0,24,96,,,7,9,,3,3,A015,,6,7,,,,
7,bank_agent,bank,B001,B001,,,,,,B001-loan-green-4,green_energy_loan,Deutsche Bank Green Energy Loan,standard_offer,public,0.03,0.032,0.008,25.0,,,10000.0,50000.0,24,84,,,7,9,,3,3,B001-offer-13,,6,7,,,,
7,bank_agent,bank,B001,B001,,,,,,B001-car-loan-2,car_loan,Deutsche Bank Car Loan,standard_offer,public,0.033,0.035,0.005,20.0,,,5000.0,60000.0,12,72,,,7,9,,4,4,B001-offer-14,,6,7,,,,
7,bank_agent,bank,B001,B001,,,,,,B001-loan-std-5,personal_loan,Deutsche Bank Personal Loan,standard_offer,public,0.038,0.04,0.01,20.0,,,5000.0,25000.0,12,60,,,7,9,,5,5,B001-offer-15,,6,7,,,,
7,bank_agent,bank,B001,B001,,,,,,B001-loan-premium-5,personal_loan,Deutsche Bank Premium Personal Loan,standard_offer,public,0.035,0.037,0.005,30.0,,,25001.0,75000.0,24,84,,,7,9,,6,6,B001-offer-16,,6,7,,,,
7,bank_agent,bank,B008,B008,,,,,,offer_B008_16,green_loan_B008_4,Santander Green Energy Loan,standard_offer,public,0.0259,0.0269,0.005,10.0,,,10000.0,75000.0,24,120,,,7,9,,6,6,action_B008_8,,6,7,,,,
