timestep,agent_name,actor_type,actor_id,bank_id,bank_name,base_reputation_score,current_reputation_score,reputation_source,reputation_notes,action_type,action_detail,visibility,reasoning_summary,action_sequence,intra_timestep_sequence,action_id,depends_on_action_id,source_snapshot_timestep,committed_timestep,validation_status,validation_errors,repair_notes,raw_row_json,advisor_callback_enabled,preapproved_offer_enabled,documentation_friction_score,counter_offer_enabled,average_approval_time_days,relationship_discount_bps,digital_friction_score,comparison_portal_optimised,instant_document_validation_enabled,abandoned_application_followup_enabled,parameters
2,bank_agent,bank,B002,B002,,,,,,strategy,"In response to heightened market competition and multiple new product launches, we will introduce a more competitively priced personal loan and launch a marketing campaign to increase our visibility and market share.",private,,1,1,A002,,1,2,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""In response to heightened market competition and multiple new product launches, we will introduce a more competitively priced personal loan and launch a marketing campaign to increase our visibility and market share."", ""action_id"": ""A002"", ""action_sequence"": 1, ""action_type"": ""strategy"", ""actor_id"": ""B002"", ""actor_type"": ""bank"", ""bank_id"": ""B002"", ""timestep"": 2, ""visibility"": ""private""}'}"
2,bank_agent,bank,B008,B008,,,,,,marketing,"Launch a marketing campaign to promote Santander's diverse loan portfolio, including the new Green Energy Loan, highlighting competitive rates and flexible terms to attract new customers in a competitive market.",private,,2,2,action_B008_2,,1,2,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""Launch a marketing campaign to promote Santander\'s diverse loan portfolio, including the new Green Energy Loan, highlighting competitive rates and flexible terms to attract new customers in a competitive market."", ""action_id"": ""action_B008_2"", ""action_sequence"": 2, ""action_type"": ""marketing"", ""actor_id"": ""B008"", ""actor_type"": ""bank"", ""bank_id"": ""B008"", ""timestep"": 2, ""visibility"": ""private""}'}"
2,bank_agent,bank,B007,B007,,,,,,update_service_levels,,private,,2,2,B007-A-2,,1,2,,,,,,True,,,,,,True,True,True,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""abandoned_application_followup_enabled"": true, ""action_id"": ""B007-A-2"", ""action_sequence"": 2, ""action_type"": ""update_service_levels"", ""actor_id"": ""B007"", ""actor_type"": ""bank"", ""bank_id"": ""B007"", ""comparison_portal_optimised"": true, ""instant_document_validation_enabled"": true, ""preapproved_offer_enabled"": true, ""timestep"": 2, ""visibility"": ""private""}'}"
2,bank_agent,bank,B006,B006,,,,,,UPDATE_OFFERS,Lowering interest rates to increase competitiveness in a crowded market.,public,,1,1,B006-action-2-1,,1,2,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""Lowering interest rates to increase competitiveness in a crowded market."", ""action_id"": ""B006-action-2-1"", ""action_sequence"": 1, ""action_type"": ""UPDATE_OFFERS"", ""actor_id"": ""B006"", ""actor_type"": ""bank"", ""bank_id"": ""B006"", ""timestep"": 2, ""visibility"": ""public""}'}"
2,bank_agent,bank,B001,B001,,,,,,management,"Invest in digital transformation to reduce friction and improve customer experience, aligning with national digital infrastructure goals.",private,,1,1,B001-action-2,,1,2,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""Invest in digital transformation to reduce friction and improve customer experience, aligning with national digital infrastructure goals."", ""action_id"": ""B001-action-2"", ""action_sequence"": 1, ""action_type"": ""management"", ""actor_id"": ""B001"", ""actor_type"": ""bank"", ""bank_id"": ""B001"", ""timestep"": 2, ""visibility"": ""private""}'}"
2,bank_agent,bank,B003,B003,,,,,,publish_offers,Reduce interest rate on personal loans to stay competitive in a growing market.,private,,1,1,B003_action_1,,1,2,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""Reduce interest rate on personal loans to stay competitive in a growing market."", ""action_id"": ""B003_action_1"", ""action_sequence"": 1, ""action_type"": ""publish_offers"", ""actor_id"": ""B003"", ""actor_type"": ""bank"", ""bank_id"": ""B003"", ""timestep"": 2, ""visibility"": ""private""}'}"
3,bank_agent,bank,B002,B002,,,,,,strategy,"In response to the market trend towards sustainable financing and government incentives, we will launch a new Green Energy Loan. We will also renew our Car Loan to remain competitive and launch a marketing campaign to promote the new green loan.",private,,1,1,A004,,2,3,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""In response to the market trend towards sustainable financing and government incentives, we will launch a new Green Energy Loan. We will also renew our Car Loan to remain competitive and launch a marketing campaign to promote the new green loan."", ""action_id"": ""A004"", ""action_sequence"": 1, ""action_type"": ""strategy"", ""actor_id"": ""B002"", ""actor_type"": ""bank"", ""bank_id"": ""B002"", ""timestep"": 3, ""visibility"": ""private""}'}"
3,bank_agent,bank,B001,B001,,,,,,management,,private,,1,1,B001-action-3,,2,3,,,,,,,,,,,,,,,"{'action_detail': 'Adjust interest rates on personal loans to remain competitive in response to market trends and competitor actions.', 'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_id"": ""B001-action-3"", ""action_sequence"": 1, ""action_type"": ""management"", ""actor_id"": ""B001"", ""actor_type"": ""bank"", ""bank_id"": ""B001"", ""parameters"": {""action_detail"": ""Adjust interest rates on personal loans to remain competitive in response to market trends and competitor actions.""}, ""timestep"": 3, ""visibility"": ""private""}'}"
3,bank_agent,bank,B004,B004,,,,,,rate_change,"In response to increasing competition, DKB is lowering the interest rate on its personal loan product.",public,,1,1,A006,,2,3,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""In response to increasing competition, DKB is lowering the interest rate on its personal loan product."", ""action_id"": ""A006"", ""action_sequence"": 1, ""action_type"": ""rate_change"", ""actor_id"": ""B004"", ""actor_type"": ""bank"", ""bank_id"": ""B004"", ""timestep"": 3, ""visibility"": ""public""}'}"
3,bank_agent,bank,B003,B003,,,,,,publish_offers,Introduce a new Green Energy Loan to respond to market trends and government incentives.,private,,1,1,B003_action_1_publish,,2,3,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""Introduce a new Green Energy Loan to respond to market trends and government incentives."", ""action_id"": ""B003_action_1_publish"", ""action_sequence"": 1, ""action_type"": ""publish_offers"", ""actor_id"": ""B003"", ""actor_type"": ""bank"", ""bank_id"": ""B003"", ""timestep"": 3, ""visibility"": ""private""}'}"
3,bank_agent,bank,B006,B006,,,,,,CREATE_PRODUCT,Launching a new Green Energy Loan product to capture the growing market segment driven by government incentives.,public,,1,1,B006-action-3-1,,2,3,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""Launching a new Green Energy Loan product to capture the growing market segment driven by government incentives."", ""action_id"": ""B006-action-3-1"", ""action_sequence"": 1, ""action_type"": ""CREATE_PRODUCT"", ""actor_id"": ""B006"", ""actor_type"": ""bank"", ""bank_id"": ""B006"", ""timestep"": 3, ""visibility"": ""public""}'}"
3,bank_agent,bank,B006,B006,,,,,,UPDATE_OFFERS,Issuing a new competitive Green Energy Loan offer and renewing existing standard loan offers for the current timestep.,public,,2,2,B006-action-3-2,,2,3,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""Issuing a new competitive Green Energy Loan offer and renewing existing standard loan offers for the current timestep."", ""action_id"": ""B006-action-3-2"", ""action_sequence"": 2, ""action_type"": ""UPDATE_OFFERS"", ""actor_id"": ""B006"", ""actor_type"": ""bank"", ""bank_id"": ""B006"", ""timestep"": 3, ""visibility"": ""public""}'}"
3,bank_agent,bank,B005,B005,,,,,,ProductManagement,"{""description"": ""Launch of a new Green Energy Loan product to align with government incentives and respond to competitor actions.""}",private,,1,1,B005-A-2,,2,3,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""{\\""description\\"": \\""Launch of a new Green Energy Loan product to align with government incentives and respond to competitor actions.\\""}"", ""action_id"": ""B005-A-2"", ""action_sequence"": 1, ""action_type"": ""ProductManagement"", ""actor_id"": ""B005"", ""actor_type"": ""bank"", ""bank_id"": ""B005"", ""timestep"": 3, ""visibility"": ""private""}'}"
3,bank_agent,bank,B005,B005,,,,,,PricingManagement,"{""description"": ""Reducing the interest rate on the Sparkasse Personal Loan to remain competitive in the market.""}",private,,1,1,B005-A-3,,2,3,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""{\\""description\\"": \\""Reducing the interest rate on the Sparkasse Personal Loan to remain competitive in the market.\\""}"", ""action_id"": ""B005-A-3"", ""action_sequence"": 1, ""action_type"": ""PricingManagement"", ""actor_id"": ""B005"", ""actor_type"": ""bank"", ""bank_id"": ""B005"", ""timestep"": 3, ""visibility"": ""private""}'}"
3,bank_agent,bank,B008,B008,,,,,,management,Renewed expiring loan products with minor rate adjustments to reflect market conditions (inflation) while remaining competitive. Continuing major marketing push initiated in the previous timestep.,private,,3,3,action_B008_4,,2,3,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""Renewed expiring loan products with minor rate adjustments to reflect market conditions (inflation) while remaining competitive. Continuing major marketing push initiated in the previous timestep."", ""action_id"": ""action_B008_4"", ""action_sequence"": 3, ""action_type"": ""management"", ""actor_id"": ""B008"", ""actor_type"": ""bank"", ""bank_id"": ""B008"", ""timestep"": 3, ""visibility"": ""private""}'}"
4,bank_agent,bank,B002,B002,,,,,,strategy,"Given the intense competition and downward pressure on personal loan interest rates, we will renew our 'Personal Loan Plus' with a more competitive rate. We will also launch a marketing campaign to highlight our competitive personal and green energy loans, addressing the key market trends.",private,,1,1,A007,,3,4,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""Given the intense competition and downward pressure on personal loan interest rates, we will renew our \'Personal Loan Plus\' with a more competitive rate. We will also launch a marketing campaign to highlight our competitive personal and green energy loans, addressing the key market trends."", ""action_id"": ""A007"", ""action_sequence"": 1, ""action_type"": ""strategy"", ""actor_id"": ""B002"", ""actor_type"": ""bank"", ""bank_id"": ""B002"", ""timestep"": 4, ""visibility"": ""private""}'}"
4,bank_agent,bank,B003,B003,,,,,,publish_offers,Lower interest rate on personal loans to capture market share in a competitive environment.,private,,1,1,B003_action_1_publish_pl,,3,4,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""Lower interest rate on personal loans to capture market share in a competitive environment."", ""action_id"": ""B003_action_1_publish_pl"", ""action_sequence"": 1, ""action_type"": ""publish_offers"", ""actor_id"": ""B003"", ""actor_type"": ""bank"", ""bank_id"": ""B003"", ""timestep"": 4, ""visibility"": ""private""}'}"
4,bank_agent,bank,B006,B006,,,,,,UPDATE_OFFERS,Responding to intense market competition by slightly reducing interest rates across all loan products to maintain market share and attract new customers.,public,,1,1,B006-action-4-1,,3,4,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""Responding to intense market competition by slightly reducing interest rates across all loan products to maintain market share and attract new customers."", ""action_id"": ""B006-action-4-1"", ""action_sequence"": 1, ""action_type"": ""UPDATE_OFFERS"", ""actor_id"": ""B006"", ""actor_type"": ""bank"", ""bank_id"": ""B006"", ""timestep"": 4, ""visibility"": ""public""}'}"
4,bank_agent,bank,B007,B007,,,,,,new_offer,,public,,4,4,B007-A-7,,3,4,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_id"": ""B007-A-7"", ""action_sequence"": 4, ""action_type"": ""new_offer"", ""actor_id"": ""B007"", ""actor_type"": ""bank"", ""bank_id"": ""B007"", ""timestep"": 4, ""visibility"": ""public""}'}"
4,bank_agent,bank,B007,B007,,,,,,new_offer,,public,,4,4,B007-A-8,,3,4,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_id"": ""B007-A-8"", ""action_sequence"": 4, ""action_type"": ""new_offer"", ""actor_id"": ""B007"", ""actor_type"": ""bank"", ""bank_id"": ""B007"", ""timestep"": 4, ""visibility"": ""public""}'}"
4,bank_agent,bank,B005,B005,,,,,,PricingManagement,"{""description"": ""In response to intense market competition, we are lowering the interest rate on our personal loan product to attract more customers.""}",private,,1,1,B005-A-4,,3,4,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""{\\""description\\"": \\""In response to intense market competition, we are lowering the interest rate on our personal loan product to attract more customers.\\""}"", ""action_id"": ""B005-A-4"", ""action_sequence"": 1, ""action_type"": ""PricingManagement"", ""actor_id"": ""B005"", ""actor_type"": ""bank"", ""bank_id"": ""B005"", ""timestep"": 4, ""visibility"": ""private""}'}"
4,bank_agent,bank,B005,B005,,,,,,MarketingCampaign,"{""description"": ""Launch a targeted marketing campaign to promote the competitive interest rate of our Green Energy Loan and the newly reduced rate on our Personal Loan.""}",private,,2,2,B005-A-5,,3,4,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""{\\""description\\"": \\""Launch a targeted marketing campaign to promote the competitive interest rate of our Green Energy Loan and the newly reduced rate on our Personal Loan.\\""}"", ""action_id"": ""B005-A-5"", ""action_sequence"": 2, ""action_type"": ""MarketingCampaign"", ""actor_id"": ""B005"", ""actor_type"": ""bank"", ""bank_id"": ""B005"", ""timestep"": 4, ""visibility"": ""private""}'}"
4,bank_agent,bank,B004,B004,,,,,,rate_change,"In response to continued competitive pressure in the green lending market, DKB is renewing its Green Energy Loan with a more competitive interest rate.",public,,1,1,A007_8,,3,4,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""In response to continued competitive pressure in the green lending market, DKB is renewing its Green Energy Loan with a more competitive interest rate."", ""action_id"": ""A007"", ""action_sequence"": 1, ""action_type"": ""rate_change"", ""actor_id"": ""B004"", ""actor_type"": ""bank"", ""bank_id"": ""B004"", ""timestep"": 4, ""visibility"": ""public""}'}"
4,bank_agent,bank,B001,B001,,,,,,management,Respond to intense market competition by lowering interest rates on all loan products and launching targeted marketing campaigns for our green energy loan and new lower personal loan rates.,private,,1,1,B001-action-4,,3,4,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""Respond to intense market competition by lowering interest rates on all loan products and launching targeted marketing campaigns for our green energy loan and new lower personal loan rates."", ""action_id"": ""B001-action-4"", ""action_sequence"": 1, ""action_type"": ""management"", ""actor_id"": ""B001"", ""actor_type"": ""bank"", ""bank_id"": ""B001"", ""timestep"": 4, ""visibility"": ""private""}'}"
5,bank_agent,bank,B003,B003,,,,,,publish_offers,Renew and enhance Green Energy and Car loan products with lower interest rates to maintain market leadership and competitiveness. Launch a supporting marketing campaign.,private,,1,1,B003_action_publish_5,,4,5,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""Renew and enhance Green Energy and Car loan products with lower interest rates to maintain market leadership and competitiveness. Launch a supporting marketing campaign."", ""action_id"": ""B003_action_publish_5"", ""action_sequence"": 1, ""action_type"": ""publish_offers"", ""actor_id"": ""B003"", ""actor_type"": ""bank"", ""bank_id"": ""B003"", ""timestep"": 5, ""visibility"": ""private""}'}"
5,bank_agent,bank,B004,B004,,,,,,rate_change,"To maintain our #1 market position for personal loans, we are renewing our offer with a more competitive interest rate.",public,,1,1,A008,,4,5,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""To maintain our #1 market position for personal loans, we are renewing our offer with a more competitive interest rate."", ""action_id"": ""A008"", ""action_sequence"": 1, ""action_type"": ""rate_change"", ""actor_id"": ""B004"", ""actor_type"": ""bank"", ""bank_id"": ""B004"", ""timestep"": 5, ""visibility"": ""public""}'}"
5,bank_agent,bank,B004,B004,,,,,,rate_change,"To defend our leading position in the car loan market, we are introducing a new offer with a lower interest rate.",public,,1,1,A009,,4,5,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""To defend our leading position in the car loan market, we are introducing a new offer with a lower interest rate."", ""action_id"": ""A009"", ""action_sequence"": 1, ""action_type"": ""rate_change"", ""actor_id"": ""B004"", ""actor_type"": ""bank"", ""bank_id"": ""B004"", ""timestep"": 5, ""visibility"": ""public""}'}"
5,bank_agent,bank,B006,B006,,,,,,UPDATE_OFFERS,"In response to sustained, intense market competition, we are further reducing interest rates on our Green Energy and Standard loan products to enhance our competitive position and attract a wider customer base.",public,,1,1,B006-action-5-1,,4,5,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""In response to sustained, intense market competition, we are further reducing interest rates on our Green Energy and Standard loan products to enhance our competitive position and attract a wider customer base."", ""action_id"": ""B006-action-5-1"", ""action_sequence"": 1, ""action_type"": ""UPDATE_OFFERS"", ""actor_id"": ""B006"", ""actor_type"": ""bank"", ""bank_id"": ""B006"", ""timestep"": 5, ""visibility"": ""public""}'}"
5,bank_agent,bank,B001,B001,,,,,,management,,private,,1,1,B001-action-5,,4,5,,,,,,,,,,,,,,,"{'action_detail': 'The market remains highly competitive. To gain an edge, we are launching a new car loan product to enter a new market segment. We are also making our green energy loan more competitive by lowering its interest rate. A targeted marketing campaign will support these new and updated offers.', 'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_id"": ""B001-action-5"", ""action_sequence"": 1, ""action_type"": ""management"", ""actor_id"": ""B001"", ""actor_type"": ""bank"", ""bank_id"": ""B001"", ""parameters"": {""action_detail"": ""The market remains highly competitive. To gain an edge, we are launching a new car loan product to enter a new market segment. We are also making our green energy loan more competitive by lowering its interest rate. A targeted marketing campaign will support these new and updated offers.""}, ""timestep"": 5, ""visibility"": ""private""}'}"
5,bank_agent,bank,B005,B005,,,,,,PricingManagement,"{""description"": ""In response to ongoing intense market competition, we are further reducing the interest rates on our Personal Loan and Green Energy Loan products to enhance our competitiveness and attract more customers.""}",private,,1,1,B005-A-6,,4,5,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""{\\""description\\"": \\""In response to ongoing intense market competition, we are further reducing the interest rates on our Personal Loan and Green Energy Loan products to enhance our competitiveness and attract more customers.\\""}"", ""action_id"": ""B005-A-6"", ""action_sequence"": 1, ""action_type"": ""PricingManagement"", ""actor_id"": ""B005"", ""actor_type"": ""bank"", ""bank_id"": ""B005"", ""timestep"": 5, ""visibility"": ""private""}'}"
5,bank_agent,bank,B005,B005,,,,,,MarketingCampaign,"{""description"": ""Launch a major marketing campaign to aggressively promote the new, lower interest rates on our Personal and Green Energy loans, aiming to improve marketplace ranking and visibility.""}",private,,2,2,B005-A-7,,4,5,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""{\\""description\\"": \\""Launch a major marketing campaign to aggressively promote the new, lower interest rates on our Personal and Green Energy loans, aiming to improve marketplace ranking and visibility.\\""}"", ""action_id"": ""B005-A-7"", ""action_sequence"": 2, ""action_type"": ""MarketingCampaign"", ""actor_id"": ""B005"", ""actor_type"": ""bank"", ""bank_id"": ""B005"", ""timestep"": 5, ""visibility"": ""private""}'}"
5,bank_agent,bank,B002,B002,,,,,,strategy,"The market remains highly competitive. To gain a stronger position against market leaders like DKB, we are repricing our Green Energy and Car loans with significantly lower interest rates. We will launch a marketing campaign to communicate this enhanced value proposition.",private,,1,1,A009_8,,4,5,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""The market remains highly competitive. To gain a stronger position against market leaders like DKB, we are repricing our Green Energy and Car loans with significantly lower interest rates. We will launch a marketing campaign to communicate this enhanced value proposition."", ""action_id"": ""A009"", ""action_sequence"": 1, ""action_type"": ""strategy"", ""actor_id"": ""B002"", ""actor_type"": ""bank"", ""bank_id"": ""B002"", ""timestep"": 5, ""visibility"": ""private""}'}"
5,bank_agent,bank,B007,B007,,,,,,new_offer,,public,,5,5,B007-A-9,,4,5,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_id"": ""B007-A-9"", ""action_sequence"": 5, ""action_type"": ""new_offer"", ""actor_id"": ""B007"", ""actor_type"": ""bank"", ""bank_id"": ""B007"", ""timestep"": 5, ""visibility"": ""public""}'}"
5,bank_agent,bank,B007,B007,,,,,,new_offer,,public,,5,5,B007-A-10,,4,5,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_id"": ""B007-A-10"", ""action_sequence"": 5, ""action_type"": ""new_offer"", ""actor_id"": ""B007"", ""actor_type"": ""bank"", ""bank_id"": ""B007"", ""timestep"": 5, ""visibility"": ""public""}'}"
