timestep,agent_name,actor_type,actor_id,consumer_id,consumer_name,action_type,action_detail,decision_reason,reasoning_inputs,considered_offer_ids,funnel_stage_before,funnel_stage_after,visibility,reasoning_summary,action_sequence,intra_timestep_sequence,action_id,depends_on_action_id,source_snapshot_timestep,committed_timestep,validation_status,validation_errors,repair_notes,raw_row_json,search_parameters,selected_offer_id,selected_bank_id,selected_bank_name
7,customer_agent,consumer,C006,C006,,engage_with_marketplace,,,,,,,public,Customer action recorded; explicit decision reason was not provided.,1,1,C006-1,,6,7,,,,,,,,
7,customer_agent,consumer,C007,C007,,engage_with_marketplace,,,,,,,public,Customer action recorded; explicit decision reason was not provided.,1,1,C007-1,,6,7,,,,,,,,
7,customer_agent,consumer,C008,C008,,engage_with_marketplace,,,,,,,public,Customer action recorded; explicit decision reason was not provided.,1,1,C008-1,,6,7,,,,,,,,
7,customer_agent,consumer,C009,C009,,engage_with_marketplace,,,,,,,public,Customer action recorded; explicit decision reason was not provided.,1,1,C009-1,,6,7,,,,,,,,
7,customer_agent,consumer,C010,C010,,engage_with_marketplace,,,,,,,public,Customer action recorded; explicit decision reason was not provided.,1,1,C010-1,,6,7,,,,,,,,
8,customer_agent,consumer,C012,C012,,select_loan,,,,,,,public,Customer action recorded; explicit decision reason was not provided.,1,1,C012-select-loan-8-1,,7,8,,,,,,,,
8,customer_agent,consumer,C013,C013,,select_loan,,,,,,,public,Customer action recorded; explicit decision reason was not provided.,1,1,C013-select-loan-8-1,,7,8,,,,,,,,
8,customer_agent,consumer,C014,C014,,select_loan,,,,,,,public,Customer action recorded; explicit decision reason was not provided.,1,1,C014-select-loan-8-1,,7,8,,,,,,,,
8,customer_agent,consumer,C015,C015,,select_loan,,,,,,,public,Customer action recorded; explicit decision reason was not provided.,1,1,C015-select-loan-8-1,,7,8,,,,,,,,
8,customer_agent,consumer,C016,C016,,select_loan,,,,,,,public,Customer action recorded; explicit decision reason was not provided.,1,1,C016-select-loan-8-1,,7,8,,,,,,,,
8,customer_agent,consumer,C017,C017,,select_loan,,,,,,,public,Customer action recorded; explicit decision reason was not provided.,1,1,C017-select-loan-8-1,,7,8,,,,,,,,
8,customer_agent,consumer,C018,C018,,select_loan,,,,,,,public,Customer action recorded; explicit decision reason was not provided.,1,1,C018-select-loan-8-1,,7,8,,,,,,,,
9,customer_agent,consumer,C001,C001,,select,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C001-select,,8,9,,,,,,,,
9,customer_agent,consumer,C002,C002,,select,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C002-select,,8,9,,,,,,,,
9,customer_agent,consumer,C003,C003,,select,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C003-select,,8,9,,,,,,,,
9,customer_agent,consumer,C004,C004,,select,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C004-select,,8,9,,,,,,,,
9,customer_agent,consumer,C005,C005,,select,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C005-select,,8,9,,,,,,,,
9,customer_agent,consumer,C006,C006,,select,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C006-select,,8,9,,,,,,,,
9,customer_agent,consumer,C008,C008,,select,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C008-select,,8,9,,,,,,,,
9,customer_agent,consumer,C009,C009,,select,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C009-select,,8,9,,,,,,,,
9,customer_agent,consumer,C010,C010,,select,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C010-select,,8,9,,,,,,,,
9,customer_agent,consumer,C011,C011,,select,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C011-select,,8,9,,,,,,,,
